"person_id";"primary_name";"birth_year";"death_year";"primary_profession";"known_for_titles"
435289;"Aleksandr Kaydanovskiy";1946;1995;"actor,director,writer";"tt0208186,tt0079944,tt0092879,tt0096503"
436284;"Scott Kalvert";1964;2014;"director,producer,writer";"tt0112461,tt0231448"
436835;"Felix Kammerer";1995;0;"actor";"tt1037270,tt6905756,tt15320362,tt1016150"
437580;"Takeshi Kaneshiro";1973;0;"actor,music_department,soundtrack";"tt0385004,tt0109424,tt0112913,tt0425637"
438092;"Dimple Kapadia";1957;0;"actress";"tt6723592,tt0292490,tt0886539,tt1620719"
438463;"Anil Kapoor";1956;0;"actor,producer,music_department";"tt1010048,tt7431594,tt0152836,tt2792284"
439850;"Roscoe Karns";1891;1970;"actor,writer,soundtrack";"tt0025316,tt0035567,tt0032599,tt0025919"
440458;"Jake Kasdan";1974;0;"producer,director,actor";"tt0841046,tt1956620,tt0120906,tt7975244"
440913;"Mathieu Kassovitz";1967;0;"actor,director,producer";"tt0228786,tt0113247,tt0119116,tt0211915"
441814;"Omri Katz";1976;0;"actor";"tt0107120,tt0101088,tt0077000,tt0106039"
442512;"Caroline Kava";1949;0;"actress,director,writer";"tt0096684,tt0096969,tt0090350,tt0320185"
443153;"Peter Kay";1973;0;"actor,writer,director";"tt0273379,tt1298641,tt4635922,tt0421033"
443411;"Tony Kaye";1952;0;"director,cinematographer,producer";"tt0841119,tt0120586,tt1683526"
443509;"Iemasa Kayumi";1932;2014;"actor";"tt0113568,tt0087544,tt1355642,tt0131179"
444621;"Monica Keena";1979;0;"actress,miscellaneous";"tt0331933,tt0329101,tt0118300,tt0114924"
444955;"Jack Kehoe";1934;2020;"actor";"tt0070666,tt0095631,tt0070735,tt0110771"
446303;"David Kelly";1929;2012;"actor";"tt0166396,tt0367594,tt0291341,tt0486655"
446465;"Jean Louisa Kelly";1972;0;"actress,soundtrack,producer";"tt0247144,tt1745960,tt0098554,tt0113862"
446485;"Jim Kelly";1946;2013;"actor,stunts,miscellaneous";"tt0072284,tt0071221,tt0070034,tt0074213"
446672;"Michael Kelly";1969;0;"actor,producer,soundtrack";"tt1670345,tt0770828,tt0363547,tt1706593"
446819;"Richard Kelly";1975;0;"writer,producer,director";"tt0421054,tt0246578,tt0362478,tt0405336"
447290;"Gary Kemp";1959;0;"soundtrack,actor,music_department";"tt0103855,tt1289406,tt0099951,tt0110265"
447695;"Anna Kendrick";1985;0;"actress,producer,soundtrack";"tt1981677,tt1193138,tt2180411,tt1679335"
449466;"Joey Kern";1976;0;"actor,writer,director";"tt4986754,tt0247745,tt4058122,tt0303816"
